,MBF,bestFitness,nIter,pc,pm,popSize
0,53821.215778095284,44843.730899904374,2999,0.5,0.9,100
1,60621.20662113249,56365.6367530968,2999,0.5,0.9,100
2,56450.35366631637,53102.59158627558,2999,0.5,0.9,100
3,59128.493575950255,53953.856441964526,2999,0.5,0.9,100
4,52569.41481332954,48966.10508785724,2999,0.5,0.9,100
5,58478.90702604101,53253.74525596213,2999,0.5,0.9,100
6,50400.40987728858,44060.044936818624,2999,0.5,0.9,100
7,50998.65393527413,45364.123626202556,2999,0.5,0.9,100
8,52982.41528502691,46078.613150057936,2999,0.5,0.9,100
9,56072.490771847464,50820.90529850674,2999,0.5,0.9,100
10,51102.2500372411,45239.02005775763,2999,0.5,0.9,100
11,53199.058762244225,47328.32536144633,2999,0.5,0.9,100
12,49601.40908511706,43968.992385739795,2999,0.5,0.9,100
13,52242.348271872244,44552.402335424515,2999,0.5,0.9,100
14,52835.385809476196,47409.95694401432,2999,0.5,0.9,100
15,54973.44394359498,47660.23122864506,2999,0.5,0.9,100
16,58814.62436226211,53780.2288479475,2999,0.5,0.9,100
17,53482.99585756812,49094.40797106902,2999,0.5,0.9,100
18,53829.72976327305,46595.29792337821,2999,0.5,0.9,100
19,51226.55148335399,45426.64466856582,2999,0.5,0.9,100
20,49344.804874733876,45296.14056377488,2999,0.7,0.9,100
21,57897.46956214255,52278.16406920394,2999,0.7,0.9,100
22,56211.34753872125,51538.06004811498,2999,0.7,0.9,100
23,50897.70533446125,45011.36212400429,2999,0.7,0.9,100
24,54682.638597563484,49073.93329588991,2999,0.7,0.9,100
25,50456.52845519616,46426.972019523244,2999,0.7,0.9,100
26,49359.96353926082,43154.05171176009,2999,0.7,0.9,100
27,52624.72124203656,45029.79864771595,2999,0.7,0.9,100
28,51000.32364362149,45314.13885862706,2999,0.7,0.9,100
29,56831.34172842652,50402.68448234322,2999,0.7,0.9,100
30,51161.08510223514,45303.483049100796,2999,0.7,0.9,100
31,53767.83368285057,48220.20323886216,2999,0.7,0.9,100
32,48444.68138130249,40797.70048381737,2999,0.7,0.9,100
33,57964.738224800654,49357.614377730075,2999,0.7,0.9,100
34,48559.35691674529,45528.84640987504,2999,0.7,0.9,100
35,52558.72305898025,46539.39358122577,2999,0.7,0.9,100
36,56299.81598423883,51293.40697072439,2999,0.7,0.9,100
37,51003.55684534036,45210.938132658914,2999,0.7,0.9,100
38,51550.511274471915,46512.66425964968,2999,0.7,0.9,100
39,50897.600118565104,47532.64293410148,2999,0.7,0.9,100
40,50510.910975409446,45342.08600575454,2999,0.9,0.9,100
41,57840.91492272203,51938.42789907831,2999,0.9,0.9,100
42,51487.41822786494,45471.914594300004,2999,0.9,0.9,100
43,49612.787796633274,45105.056375243585,2999,0.9,0.9,100
44,54644.10598332592,48978.004204372715,2999,0.9,0.9,100
45,47323.02537499078,41827.23796490203,2999,0.9,0.9,100
46,48826.65421913501,44973.77680772754,2999,0.9,0.9,100
47,50794.12088803909,45570.714723401295,2999,0.9,0.9,100
48,45747.30141179843,39429.53651023366,2999,0.9,0.9,100
49,56269.79078009065,49582.15771240891,2999,0.9,0.9,100
50,48223.45765570913,38770.19831209436,2999,0.9,0.9,100
51,57475.00258623629,52892.95035046305,2999,0.9,0.9,100
52,48154.23699061673,42638.90287853603,2999,0.9,0.9,100
53,50829.91676573179,41868.24780876145,2999,0.9,0.9,100
54,55258.11105260917,51776.73973009767,2999,0.9,0.9,100
55,45473.70713453552,40165.184082623644,2999,0.9,0.9,100
56,53939.70854405977,48458.801592527285,2999,0.9,0.9,100
57,49030.388225456576,41195.02708019175,2999,0.9,0.9,100
58,50701.76616379762,44386.82092946882,2999,0.9,0.9,100
59,58358.70054620983,52302.05516752253,2999,0.9,0.9,100
